,Player,Team,Position,Age,Matches played,Minutes played,Birth country,Passport country,Successful defensive actions per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,Assists per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Key passes per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90
18,A. Carlsson,Hammarby,RCB,26.0,21,2005,Sweden,Sweden,10.59,65.93,1.84,51.22,0.18,0.72,8.45,0.67,0.04,63.43,82.59,30.12,69.15,1.84,50.99,12.25,23.65,0.0,0.13,0.04,59.57,0.81,22.22,0.76,0.22,0.09,14.99
19,E. Pennsäter,Växjö,RCB,23.0,22,2003,Sweden,Sweden,8.81,68.85,1.84,29.27,0.05,0.36,5.55,0.18,0.0,40.48,85.35,16.36,70.6,2.47,35.0,5.39,21.23,0.0,0.04,0.04,52.29,0.36,37.5,0.45,0.09,0.09,5.89
20,E. Nyström,Hammarby,"LCB, LB",21.0,22,1979,Finland,Finland,11.78,70.06,3.68,59.26,0.71,0.45,8.06,0.68,0.05,56.26,82.46,23.1,71.85,2.82,47.93,7.78,21.46,0.02,0.18,0.18,69.73,0.82,44.44,0.18,0.18,0.18,12.55
21,B. Agustsdottir,KIF Örebro,"LCB, LCMF, RCB",26.0,22,1968,Iceland,Iceland,12.67,72.57,2.01,61.36,0.1,0.5,7.67,0.87,0.0,44.63,82.48,18.8,69.1,3.57,38.83,5.44,19.15,0.02,0.09,0.0,56.69,1.1,20.83,0.64,0.14,0.05,7.09
22,F. da Silva,Vittsjö,"CF, LW, RW",28.0,22,1958,Sweden,Sweden,8.6,59.03,2.44,35.85,1.2,0.0,4.64,1.7,0.18,31.35,74.19,10.62,66.23,6.8,24.55,3.95,19.23,0.2,1.42,0.69,54.62,3.54,50.65,2.02,1.06,1.24,5.24
23,L. Ökvist,Häcken,"LB, LCB",24.0,22,1950,Sweden,Sweden,12.42,65.38,2.58,41.07,0.14,0.14,9.03,0.92,0.14,58.75,75.96,22.71,64.43,9.6,48.92,5.77,19.44,0.19,1.71,0.6,56.16,5.45,49.15,1.34,1.06,1.94,14.54
24,E. Stenevik,Eskilstuna United,"LB, LCB",22.0,23,1938,Norway,Norway,10.82,61.5,1.39,53.33,0.41,0.23,5.64,0.93,0.0,47.23,73.25,23.36,61.63,4.69,37.66,7.29,21.3,0.07,0.79,0.05,58.33,2.97,42.19,1.11,0.46,1.02,13.51
25,C. Polkinghorne,Vittsjö,RCB,32.0,20,1904,Australia,Australia,9.69,71.84,2.69,52.63,0.12,0.47,7.69,0.19,0.05,54.22,83.52,25.81,73.08,1.99,45.0,8.89,22.87,0.02,0.24,0.19,60.98,0.8,52.94,1.13,0.33,0.19,12.34
26,E. Larsson,Hammarby,"LAMF, LW",23.0,22,1895,Sweden,Sweden,8.31,59.76,2.14,37.78,0.0,0.05,4.86,1.42,0.28,27.83,64.16,8.12,46.78,7.03,22.65,2.14,17.79,0.14,0.95,0.38,42.86,3.75,49.37,0.76,0.9,1.14,5.6
27,M. Gotta,Växjö,"RB, RW, LB",24.0,22,1890,United States,United States,14.0,63.94,1.19,60.0,0.87,0.24,7.35,1.33,0.0,39.81,58.61,18.81,48.61,5.1,27.43,8.33,22.45,0.03,0.48,0.14,43.98,4.52,33.68,1.14,0.43,1.33,10.86
28,E. Berglund,Rosengård,RCB,32.0,22,1879,Sweden,Sweden,6.27,67.12,3.98,62.65,0.06,0.53,5.25,0.34,0.1,70.51,90.9,31.56,84.22,2.16,63.42,6.99,21.14,0.04,0.29,0.19,77.73,1.01,38.1,0.96,0.43,0.05,14.47
